GEO_ID,NAME,B02001_001E,B02001_001M,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M
id,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!White alone,Margin of Error!!Total:!!White alone,Estimate!!Total:!!Black or African American alone,Margin of Error!!Total:!!Black or African American alone,Estimate!!Total:!!American Indian and Alaska Native alone,Margin of Error!!Total:!!American Indian and Alaska Native alone,Estimate!!Total:!!Asian alone,Margin of Error!!Total:!!Asian alone,Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Some other race alone,Margin of Error!!Total:!!Some other race alone,Estimate!!Total:!!Two or more races:,Margin of Error!!Total:!!Two or more races:,Estimate!!Total:!!Two or more races:!!Two races including Some other race,Margin of Error!!Total:!!Two or more races:!!Two races including Some other race,"Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
0500000US34029,"Ocean County, New Jersey",607186,*****,555478,4352,19317,1804,418,339,9648,1100,97,166,9604,3613,12624,2826,3219,1970,9405,2129
0500000US34031,"Passaic County, New Jersey",501826,*****,334477,6731,57221,1931,710,759,26257,1853,309,413,71747,6796,11105,3047,3316,1602,7789,2711
0500000US34033,"Salem County, New Jersey",62385,*****,49285,1133,8155,940,214,241,676,189,276,350,1491,939,2288,1122,99,141,2189,1108
0500000US34035,"Somerset County, New Jersey",328934,*****,200713,4860,32756,1828,539,364,60895,1507,19,34,26839,5824,7173,1821,1098,572,6075,1808
0500000US34037,"Sussex County, New Jersey",140488,*****,130668,964,3431,605,0,213,2474,465,0,213,869,576,3046,1124,379,499,2667,986
0500000US34039,"Union County, New Jersey",556341,*****,279505,8323,117093,3507,793,515,30348,1276,0,213,110679,8429,17923,3153,5481,1968,12442,2733
0500000US34041,"Warren County, New Jersey",105267,*****,92621,1024,5062,1008,52,96,2434,1191,0,213,1630,997,3468,1382,1536,782,1932,1094
0500000US35001,"Bernalillo County, New Mexico",679121,*****,503932,10288,19726,2310,35029,3130,18355,1289,499,383,70441,10784,31139,5149,7102,1823,24037,4653
0500000US35005,"Chaves County, New Mexico",64615,*****,56610,1493,1464,378,350,294,928,384,0,210,4210,1510,1053,590,561,434,492,358
0500000US35013,"Doña Ana County, New Mexico",218195,*****,174131,6706,3881,864,2930,969,3135,930,229,316,29566,6626,4323,1781,813,572,3510,1684
0500000US35025,"Lea County, New Mexico",71070,*****,62706,1594,3154,1426,678,507,1191,814,0,210,3030,1403,311,342,84,116,227,323
0500000US35031,"McKinley County, New Mexico",71367,*****,8354,1321,279,353,53214,2411,539,460,34,56,5216,1593,3731,2412,1141,798,2590,2275
0500000US35035,"Otero County, New Mexico",67490,*****,52701,1573,2738,471,5387,666,450,541,0,210,3714,1303,2500,1129,407,357,2093,967
0500000US35043,"Sandoval County, New Mexico",146748,*****,106514,3148,4104,827,18981,879,3143,1265,0,210,8348,2407,5658,1654,2191,1123,3467,1273
0500000US35045,"San Juan County, New Mexico",123958,*****,64549,2414,1348,1025,49843,1979,681,354,0,210,2746,1374,4791,1464,1430,701,3361,1450
0500000US35049,"Santa Fe County, New Mexico",150358,*****,124279,3476,1607,239,5957,810,2406,406,0,210,12129,3309,3980,1080,1306,560,2674,969
0500000US35061,"Valencia County, New Mexico",76688,*****,65270,2304,3165,1835,1967,1226,630,830,0,210,2358,1259,3298,1236,1351,1186,1947,1031
0500000US36001,"Albany County, New York",305506,*****,228731,1882,34706,2836,352,300,19351,1684,241,291,3849,1303,18276,3569,1166,850,17110,3581
0500000US36005,"Bronx County, New York",1418207,*****,321736,13962,542543,13679,7621,2116,53314,2129,1449,1556,429572,18124,61972,7450,25894,4762,36078,5815
0500000US36007,"Broome County, New York",190488,*****,161716,1216,9147,1583,294,284,8873,487,0,207,2308,1100,8150,1804,320,331,7830,1788
0500000US36009,"Cattaraugus County, New York",76117,*****,69772,364,1159,237,2652,264,656,237,0,207,547,340,1331,425,48,90,1283,415
0500000US36011,"Cayuga County, New York",76576,*****,69910,326,2757,742,66,84,642,116,35,66,839,249,2327,745,230,179,2097,718
0500000US36013,"Chautauqua County, New York",126903,*****,116198,1993,2959,522,713,345,838,254,91,112,3302,1911,2802,599,216,231,2586,523
0500000US36015,"Chemung County, New York",83456,*****,73854,445,4716,757,141,155,1294,425,0,207,320,341,3131,824,152,194,2979,780
0500000US36019,"Clinton County, New York",80485,*****,73558,359,3007,597,386,260,1261,187,0,207,965,345,1308,563,79,75,1229,557
0500000US36027,"Dutchess County, New York",294218,*****,226823,2313,33517,1593,642,555,9524,1095,185,252,12239,2621,11288,2335,1851,1117,9437,2243
0500000US36029,"Erie County, New York",918702,*****,709543,2585,125408,2751,5451,823,35121,1503,287,302,21974,3190,20918,3515,2043,1066,18875,3330
0500000US36045,"Jefferson County, New York",109834,*****,95631,992,6380,902,682,557,2372,208,285,350,676,405,3808,1166,870,662,2938,898
0500000US36047,"Kings County, New York",2559903,*****,1115915,11721,820016,7240,7083,2739,306350,4932,859,707,222349,12204,87331,7184,17808,3699,69523,6680
0500000US36051,"Livingston County, New York",62914,*****,57695,461,1405,524,315,309,523,459,0,207,1202,787,1774,822,295,185,1479,810
0500000US36053,"Madison County, New York",70941,*****,66809,505,1482,569,271,215,774,390,0,207,312,199,1293,541,0,207,1293,541
0500000US36055,"Monroe County, New York",741770,*****,560867,4305,114292,3050,1744,727,26360,1484,1150,1451,14730,3319,22627,4058,4670,1592,17957,3649
0500000US36059,"Nassau County, New York",1356924,*****,913426,9890,159981,4729,4833,1951,140604,2651,78,132,92513,9725,45489,5926,13535,3900,31954,4707
0500000US36061,"New York County, New York",1628706,*****,922746,12064,233945,6768,6440,2720,202025,3368,345,390,194114,12302,69091,7921,11550,3120,57541,7644
0500000US36063,"Niagara County, New York",209281,*****,180375,1425,13563,1700,2123,727,2126,589,315,416,3530,1804,7249,2056,836,729,6413,1805
0500000US36065,"Oneida County, New York",228671,*****,192723,1759,13605,2273,450,366,9279,676,0,207,2793,1111,9821,2583,2143,1351,7678,2309
0500000US36067,"Onondaga County, New York",460528,*****,361908,1880,53491,3233,3274,1205,17372,895,178,233,5379,2107,18926,3287,2995,1168,15931,3197
0500000US36069,"Ontario County, New York",109777,*****,101621,922,3271,881,159,158,1319,283,0,207,1282,606,2125,534,220,260,1905,485
0500000US36071,"Orange County, New York",384940,*****,289443,4515,44427,2033,1295,1451,11472,797,464,499,23877,4474,13962,3151,4833,2122,9129,2338
0500000US36075,"Oswego County, New York",117124,*****,111452,732,1145,546,51,66,816,224,74,103,1020,741,2566,580,80,93,2486,578
0500000US36079,"Putnam County, New York",98320,*****,84960,2267,3352,775,0,207,2293,247,0,207,5907,2325,1808,907,446,544,1362,867
0500000US36081,"Queens County, New York",2253858,*****,821416,16780,415664,5666,11642,3312,588964,5159,1030,728,328194,17297,86948,9775,27567,4290,59381,8889
0500000US36083,"Rensselaer County, New York",158714,*****,135363,1439,11430,1297,0,207,4485,406,16,28,2265,1184,5155,1498,575,591,4580,1313
0500000US36085,"Richmond County, New York",476143,*****,349964,4559,47951,2069,1001,635,51270,1962,177,217,16010,3773,9770,2495,1657,957,8113,2319
0500000US36087,"Rockland County, New York",325789,*****,225965,4127,39418,2326,344,293,19281,859,0,207,31721,4556,9060,2513,2188,1156,6872,2378
0500000US36089,"St. Lawrence County, New York",107740,*****,99891,462,2443,347,875,368,1169,265,0,207,866,292,2496,709,284,187,2212,696
0500000US36091,"Saratoga County, New York",229863,*****,213426,688,3698,969,61,113,7710,932,0,207,587,387,4381,1429,566,592,3815,1295
0500000US36093,"Schenectady County, New York",155299,*****,115066,2013,17187,2220,116,159,7885,947,233,354,6540,2219,8272,2158,1884,1079,6388,2015
0500000US36101,"Steuben County, New York",95379,*****,89739,358,2274,484,186,242,1650,161,0,207,518,457,1012,357,126,111,886,341
0500000US36103,"Suffolk County, New York",1476601,*****,1177731,10459,112956,5569,5145,1487,59658,3010,384,228,87282,13109,33445,5005,9531,3426,23914,4285
0500000US36105,"Sullivan County, New York",75432,*****,57574,1784,4904,1178,542,504,1204,308,0,207,6993,1664,4215,1143,272,376,3943,1188
0500000US36109,"Tompkins County, New York",102180,*****,80958,876,3425,870,103,128,10022,982,87,156,2392,791,5193,1157,755,773,4438,1168
0500000US36111,"Ulster County, New York",177573,*****,150453,2078,11119,1305,499,391,2922,583,0,207,5101,1971,7479,1823,1556,897,5923,1414
0500000US36113,"Warren County, New York",63944,*****,60642,672,1025,594,0,207,401,339,0,207,189,200,1687,879,445,583,1242,662
0500000US36117,"Wayne County, New York",89918,*****,82992,985,1950,595,109,157,932,207,26,48,963,747,2946,727,124,200,2822,707
0500000US36119,"Westchester County, New York",967506,*****,610441,10152,150193,6170,3015,773,59202,2049,106,129,115542,11416,29007,4535,7568,2042,21439,3769
0500000US37001,"Alamance County, North Carolina",169509,*****,117967,3019,34307,2007,1471,1663,3008,470,72,132,8432,3152,4252,2047,186,215,4066,2034
0500000US37019,"Brunswick County, North Carolina",142820,*****,122295,1640,10666,2031,835,677,940,388,15,32,1977,1646,6092,2313,332,413,5760,2265
0500000US37021,"Buncombe County, North Carolina",261191,*****,230830,2525,16828,1172,1170,743,3404,597,56,107,3976,2234,4927,1634,605,734,4322,1322
0500000US37023,"Burke County, North Carolina",90485,*****,74458,1027,3619,1145,1240,1031,3192,236,314,553,5770,2599,1892,1182,286,273,1606,1114
0500000US37025,"Cabarrus County, North Carolina",216453,*****,148373,4916,40511,2750,162,261,9020,1028,0,216,10784,4770,7603,3354,634,654,6969,3156
0500000US37027,"Caldwell County, North Carolina",82178,*****,72726,878,4603,1002,0,216,99,199,0,216,2830,1034,1920,919,243,266,1677,854
0500000US37031,"Carteret County, North Carolina",69473,*****,62595,611,3431,403,301,178,593,251,0,216,533,548,2020,737,232,390,1788,548
0500000US37035,"Catawba County, North Carolina",159551,*****,126059,2054,14154,1284,716,501,7190,280,0,216,7927,2546,3505,1705,1214,1347,2291,1334
0500000US37037,"Chatham County, North Carolina",74470,*****,57614,3039,7830,1297,39,71,1205,324,0,216,5059,3061,2723,1333,84,116,2639,1334
0500000US37045,"Cleveland County, North Carolina",97947,*****,73238,1087,20406,1797,601,1012,1041,1330,0,216,1720,1087,941,604,0,216,941,604
0500000US37049,"Craven County, North Carolina",102139,*****,73100,1017,22314,706,704,177,2310,1210,46,77,994,876,2671,1516,262,288,2409,1495
0500000US37051,"Cumberland County, North Carolina",335509,*****,164571,2545,123893,2932,5130,703,9338,756,1310,229,10824,2538,20443,3237,1817,1020,18626,2941
0500000US37057,"Davidson County, North Carolina",167609,*****,144346,910,17508,775,490,478,2643,542,127,177,638,723,1857,809,135,226,1722,834
0500000US37063,"Durham County, North Carolina",321488,*****,171593,3497,114381,2520,375,337,14204,1594,197,250,10035,3528,10703,2550,853,759,9850,2448
0500000US37067,"Forsyth County, North Carolina",382295,*****,252469,3227,100923,3309,1953,469,8884,780,116,153,8682,2637,9268,3097,2032,1280,7236,2517
0500000US37069,"Franklin County, North Carolina",69685,*****,47610,1812,16363,1442,230,199,204,309,0,216,2234,1699,3044,1536,372,486,2672,1419
0500000US37071,"Gaston County, North Carolina",224529,*****,171404,2019,38825,1458,1008,599,3455,554,452,642,4361,1907,5024,1443,652,494,4372,1425
0500000US37081,"Guilford County, North Carolina",537174,*****,288313,3883,184002,4122,3141,991,27018,1248,173,222,15955,3861,18572,5360,1978,1636,16594,5032
0500000US37085,"Harnett County, North Carolina",135976,*****,90982,2345,30201,1652,788,464,2460,1231,1039,1559,5809,2281,4697,1163,445,440,4252,1074
0500000US37089,"Henderson County, North Carolina",117417,*****,107103,2327,4223,804,253,420,1098,555,0,216,2622,2333,2118,1005,0,216,2118,1005
0500000US37097,"Iredell County, North Carolina",181806,*****,143949,2348,20825,2282,317,340,5102,452,0,216,4938,1876,6675,2332,458,368,6217,2299
0500000US37101,"Johnston County, North Carolina",209339,*****,158143,3681,34923,1509,766,607,2028,335,0,216,9769,3624,3710,1385,882,547,2828,1284
0500000US37109,"Lincoln County, North Carolina",86111,*****,78483,535,5379,721,353,460,753,131,60,129,423,403,660,580,0,216,660,580
0500000US37119,"Mecklenburg County, North Carolina",1110356,*****,579664,7455,352014,4850,3809,1867,63628,2631,379,229,75332,7898,35530,5817,2676,1170,32854,5464
0500000US37125,"Moore County, North Carolina",100880,*****,81646,1235,12124,1023,731,640,1454,403,175,326,3150,1234,1600,687,89,144,1511,669
0500000US37127,"Nash County, North Carolina",94298,*****,46857,819,38764,1113,301,268,170,247,0,216,5506,1080,2700,1346,480,636,2220,1087
0500000US37129,"New Hanover County, North Carolina",234473,*****,189556,2139,29299,1886,805,402,2674,497,161,222,4722,2025,7256,2107,566,678,6690,1946
0500000US37133,"Onslow County, North Carolina",197938,*****,149113,2269,28855,2533,1153,615,4111,501,22,48,1670,1094,13014,2663,1495,1260,11519,2433
0500000US37135,"Orange County, North Carolina",148476,*****,114580,928,16943,1421,398,312,12048,607,9,17,1600,1183,2898,1344,215,309,2683,1323
0500000US37147,"Pitt County, North Carolina",180742,*****,100199,1862,61537,2383,366,428,2936,1030,217,344,8754,1884,6733,2445,654,848,6079,2500
0500000US37151,"Randolph County, North Carolina",143667,*****,122978,2696,8140,1909,570,374,1477,1458,0,216,6484,2726,4018,1263,72,103,3946,1256
0500000US37155,"Robeson County, North Carolina",130625,*****,35102,1607,30428,451,52786,881,628,372,59,95,9448,1635,2174,867,41,76,2133,857
0500000US37157,"Rockingham County, North Carolina",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0500000US37159,"Rowan County, North Carolina",142088,*****,108730,1572,23034,1594,429,380,1196,523,0,216,3714,1977,4985,1757,832,707,4153,1618
0500000US37161,"Rutherford County, North Carolina",67029,*****,58284,617,6660,863,54,84,383,135,0,216,301,325,1347,914,261,531,1086,795
0500000US37171,"Surry County, North Carolina",71783,*****,65624,1319,1731,826,859,347,428,84,0,216,1481,1262,1660,777,225,323,1435,751
0500000US37179,"Union County, North Carolina",239859,*****,190315,2838,28137,1525,934,445,8031,757,208,246,6391,2612,5843,2023,742,498,5101,1982
0500000US37183,"Wake County, North Carolina",1111761,*****,718463,6451,230927,4626,5266,1855,83883,1734,262,224,45166,6323,27794,5200,3838,1236,23956,5090
0500000US37191,"Wayne County, North Carolina",123131,*****,78388,1134,38998,872,480,224,1342,426,6,12,1177,1009,2740,1131,258,360,2482,1068
0500000US37193,"Wilkes County, North Carolina",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0500000US37195,"Wilson County, North Carolina",81801,*****,40482,1702,32970,652,133,153,636,681,0,216,5941,1732,1639,886,355,358,1284,806
0500000US38015,"Burleigh County, North Dakota",95626,*****,85293,522,1789,688,4624,1073,910,119,135,286,230,182,2645,1072,74,95,2571,1060
0500000US38017,"Cass County, North Dakota",181923,*****,157035,730,11269,878,1790,821,4190,1731,0,165,905,609,6734,2276,225,269,6509,2281
0500000US38035,"Grand Forks County, North Dakota",69451,*****,59697,442,1695,1161,2067,408,2175,246,1626,1525,363,384,1828,930,0,165,1828,930
0500000US38101,"Ward County, North Dakota",67641,*****,57964,619,2381,833,647,510,1180,1169,198,288,662,496,4609,1080,540,340,4069,1125
0500000US39003,"Allen County, Ohio",102351,*****,84244,829,11407,1454,349,418,953,183,0,198,741,726,4657,1515,303,246,4354,1505
0500000US39007,"Ashtabula County, Ohio",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0500000US39009,"Athens County, Ohio",65327,*****,59787,108,1879,258,582,746,1732,732,0,198,36,76,1311,623,0,198,1311,623
0500000US39013,"Belmont County, Ohio",67006,*****,62343,427,2958,1075,16,32,299,314,75,144,198,107,1117,784,7,16,1110,783
0500000US39017,"Butler County, Ohio",383134,*****,320086,2046,34039,2028,651,717,14887,1146,0,198,4359,2160,9112,2320,474,452,8638,2240
0500000US39023,"Clark County, Ohio",134083,*****,116299,815,12025,964,147,232,876,460,0,198,819,789,3917,1135,52,64,3865,1131
0500000US39025,"Clermont County, Ohio",206428,*****,196209,377,1967,1263,56,122,2318,773,0,198,245,234,5633,1412,142,205,5491,1376
0500000US39029,"Columbiana County, Ohio",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0500000US39035,"Cuyahoga County, Ohio",1235072,*****,766146,4149,366313,4346,3975,1514,40838,1412,964,1232,20009,3617,36827,4660,3928,1351,32899,4483
0500000US39041,"Delaware County, Ohio",209177,*****,178784,840,7420,1209,317,460,15355,1160,69,122,1806,1188,5426,1518,155,199,5271,1483
0500000US39043,"Erie County, Ohio",74266,*****,63795,717,6974,1069,181,115,305,372,0,198,874,583,2137,1066,170,198,1967,1037
0500000US39045,"Fairfield County, Ohio",157574,*****,135028,923,13159,971,85,122,2985,584,0,198,1615,884,4702,1312,743,754,3959,1216
0500000US39049,"Franklin County, Ohio",1316756,*****,858933,5377,304051,5865,3103,1282,71200,3153,463,550,29721,5590,49285,6864,1908,910,47377,6959
0500000US39055,"Geauga County, Ohio",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0500000US39057,"Greene County, Ohio",168937,*****,144690,1025,10956,1375,479,286,4356,703,627,563,1084,1053,6745,1540,145,189,6600,1518
0500000US39061,"Hamilton County, Ohio",817473,*****,550516,2481,209849,4793,868,502,21332,1511,547,270,5760,2222,28601,5609,912,640,27689,5479
0500000US39063,"Hancock County, Ohio",75783,*****,69846,554,1228,446,232,300,1422,265,0,198,1403,588,1652,512,152,219,1500,455
0500000US39081,"Jefferson County, Ohio",65325,*****,59374,270,3564,617,0,198,364,136,0,198,222,201,1801,747,309,258,1492,618
0500000US39085,"Lake County, Ohio",230149,*****,209083,2024,10865,1701,113,149,2979,599,228,385,1988,2050,4893,1700,315,347,4578,1664
0500000US39089,"Licking County, Ohio",176862,*****,160352,541,7418,1168,49,71,2821,949,0,198,384,367,5838,1526,272,276,5566,1506
0500000US39093,"Lorain County, Ohio",309833,*****,264445,2376,23270,2038,1473,1003,4382,618,67,115,3846,1694,12350,2951,1412,993,10938,2864
0500000US39095,"Lucas County, Ohio",428348,*****,309082,2033,81931,3692,1270,438,7376,730,630,887,7692,1638,20367,4003,2083,1083,18284,3720
0500000US39099,"Mahoning County, Ohio",228683,*****,182121,1461,34322,1682,127,114,2326,517,0,198,2352,1044,7435,2107,256,225,7179,2125
0500000US39101,"Marion County, Ohio",65093,*****,58096,418,2806,930,264,218,1128,956,59,76,260,234,2480,709,18,33,2462,712
0500000US39103,"Medina County, Ohio",179746,*****,170806,787,3230,574,549,416,1856,572,0,198,870,670,2435,970,147,147,2288,954
0500000US39109,"Miami County, Ohio",106987,*****,99953,272,3014,749,0,198,1465,614,36,63,214,234,2305,1002,58,126,2247,986
0500000US39113,"Montgomery County, Ohio",531687,*****,380692,2409,104945,4031,2593,1695,10928,1107,81,78,7636,2356,24812,4338,476,507,24336,4326
0500000US39119,"Muskingum County, Ohio",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0500000US39133,"Portage County, Ohio",162466,*****,147235,653,7948,1809,0,198,1673,1125,77,155,216,204,5317,1898,30,42,5287,1897
0500000US39139,"Richland County, Ohio",121154,*****,105042,507,10742,1584,372,293,754,745,49,88,465,409,3730,1338,0,198,3730,1338
0500000US39141,"Ross County, Ohio",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0500000US39145,"Scioto County, Ohio",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0500000US39151,"Stark County, Ohio",370606,*****,323692,1364,29231,2171,294,397,3556,328,0,198,2091,1151,11742,2058,266,371,11476,2099
0500000US39153,"Summit County, Ohio",541013,*****,420358,2446,80544,3244,921,520,19770,1815,104,179,3240,2156,16076,3734,873,566,15203,3814
0500000US39155,"Trumbull County, Ohio",197974,*****,175107,415,16456,1890,70,127,1231,310,203,340,137,259,4770,1945,132,158,4638,1918
